Endothelial	InnateLymphoid	Leydig	Macrophage	Myoid	Sertoli	Unknown
1700015F17Rik	0.172970551740823	0.20577377028194	0.145842244839896	0.125811151246015	0.445999789239352	0.39421362644098	0.175155900251479
1700015G11Rik	0.217257019851153	0.586225511472339	0.1425653804639	0.421663332904737	0.359435767866671	1.14880793062033	0.272149197247015
1700015O11Rik	0	0	0	0	0	0.0710059665289467	0.0146185536857538
1700016A09Rik	0.0254535965232692	0	0.0299849155613782	0.0847251708789322	0	0.151182853619782	0.0324853985761624
1700016C15Rik	0.0937451049590359	0	0.0364403449658501	0.159991730432136	0.22445626038563	0.260563010827053	0.0555072013888638
1700016D06Rik	0.305098589807246	0.182769668926575	0.0454467131890793	0.206349915921438	0	0.270279546773024	0.10452564262013
1700016D08Rik	0	0	0	0	0	0.016863683474334	0.00350440730886598
1700016G14Rik	0.0942142515871621	0.132924277798975	0.00465131396076722	0.125070502332235	0	0.176929354689862	0.10498262512721
1700016G22Rik	0.00989410091560349	0	0.0103217968433272	0.0725668497691128	0.190053666034108	0.0554623794882697	0.014956022808047
1700016H13Rik	0.140896905938947	0.275858155190482	0.123101661261296	0.442835332458424	0	0.945114409132935	0.214747877004806
1700016K19Rik	0.05167528638278	0.194065208729439	0.158820686918916	0.273160881647182	0.525446863065441	0.82503185157922	0.204028089419309
1700016L21Rik	0	0	0.0143657101817125	0	0	0.0296505463818123	0.00674305230913942
1700016P03Rik	0.0353140469246173	0	0	0	0	0.0384015942116994	0.0240373140519716
1700016P04Rik	0.234989769123128	0.176588218085854	0.0631383252970874	0.154668374594174	0.320426729470259	0.880472005294149	0.190134884363207
1700017B05Rik	0.055943538542646	0.150686374026845	0.027470302270689	0.125400921431741	0	0.525568157481762	0.0907532665937059
1700017D01Rik	0.133000609944776	0.204134630206842	0.124800873365153	0.352695380864419	0.278292292843328	0.507176125119621	0.158387114298572
1700017G19Rik	0.0242808753697913	0	0.0599124522687986	0.0637409588899378	0	0.0496709429709551	0.0164230194508288
1700017I07Rik	0	0	0	0.0165847331247463	0	0.0194131142624299	0.00365802449450379
1700017J07Rik	0.0214387946184859	0	0.0290152166132812	0.0211979228024688	0	0.0457139305606945	0.0401302577164358
1700017N19Rik	0.120243165558141	0.347630299893371	0.0194078496247426	0.127361679154345	0.20739662106723	0.475335285318044	0.137080534411981
1700018A04Rik	0	0.0338446359045812	0.0270333026860514	0	0	0.0911797005592262	0.0501661594571965
1700018A14Rik	0	0	0	0	0	0.00816027315296882	0.00337818938910259
1700018B08Rik	0.116231168493336	0.112348817637056	0.121256532103628	0.322034205890435	0	0.348233417615399	0.13457861764525
1700018B24Rik	0.129504533907992	0.127354694319292	0.159376673863455	0.324828705286547	0.178079551386743	0.462621308230071	0.212883582151785
1700018C11Rik	0.115517566721519	0.196609967894302	0.105766642684024	0.293837888122971	0.161932528274409	0.678068353803467	0.18064121584939
1700018F24Rik	0	0	0.0344052250325382	0.237925825663323	0.129589006926994	0.118791022272405	0.0561890973164855
1700018L02Rik	0.0678628370905239	0	0.0665742187687707	0.137056437791994	0.124826795527413	0.191663235143251	0.159497730025187
1700019A02Rik	0.186747811729862	0.280951162092075	0.0963508292037069	0.409766279453326	0	0.508220661315747	0.251543469546953
1700019B03Rik	0.0250540464734054	0	0.0333471796896275	0.0211356440638599	0	0.0849169471315284	0.0167905270034296
1700019B21Rik	0	0	0.00569517916162503	0.00668303819084056	0.189290141357467	2.33416523056942	0.0135944861035427
1700019D03Rik	0.268863689660008	0.561975801138749	0.12282165348276	0.394138576562392	0.55273431880895	0.935108011698565	0.264861509480872
1700019G17Rik	0.0716793578741151	0	0.24772544500682	0.00602940307566936	0	0.0854219452483282	0.0119276433395001
1700019G24Rik	0.0121029928743278	0	0.135143356907754	0.0894637446321695	0	0.220921810023173	0.140788124191907
1700019L03Rik	0.107597208683998	0	0.0326230561960176	0.108260760105209	0	0.120155976458261	0.0585402029036837
1700019M22Rik	0.218681633215336	0.192674206711391	0.08026470031918	0.24971032231379	0.458784647844764	0.957688803253854	0.282483693278282
